,epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss,training_time,test_loss,test_dice_coef,test_iou,testing_time,trainable_params
0,0,0.8062419295310974,0.6826894879341125,0.1937583535909652,0.2426852434873581,0.1381256729364395,0.7573147416114807,149.25384822399974,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
1,1,0.898433268070221,0.8160505890846252,0.1015668213367462,0.3908524215221405,0.2448526173830032,0.6091476082801819,131.48012667000012,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
2,2,0.9292627573013306,0.8680604696273804,0.0707373395562172,0.8213063478469849,0.6981493830680847,0.1786936670541763,129.88808535399994,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
3,3,0.942846417427063,0.8920575380325317,0.0571536906063556,0.9179489016532898,0.8485601544380188,0.082051083445549,131.4610146289997,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
4,4,0.9540307521820068,0.9122236967086792,0.0459692515432834,0.9516401886940002,0.9078252911567688,0.0483598560094833,129.82841938299953,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
5,5,0.9588871002197266,0.9211120009422302,0.0411130748689174,0.9562785625457764,0.9163391590118408,0.0437213517725467,129.7345194190002,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
6,6,0.9641132354736328,0.9307730793952942,0.0358869768679142,0.9621651768684388,0.9271613359451294,0.0378347486257553,129.9012399989997,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
7,7,0.9673884510993958,0.9368876218795776,0.0326114743947982,0.945505678653717,0.8968369364738464,0.0544943995773792,129.7376360240005,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
8,8,0.9693115949630736,0.9405092597007751,0.0306884106248617,0.968304455280304,0.9386169910430908,0.0316954106092453,129.90490982000028,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
9,9,0.9733294248580932,0.9480776190757751,0.0266704503446817,0.9692206978797911,0.9403460025787354,0.0307794883847236,131.7216738039997,0.033358123153448105,0.9668601155281067,0.9361907839775085,11.973255808000431,9162753.0
