,epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss,training_time,test_loss,test_dice_coef,test_iou,testing_time,trainable_params
0,0,0.8176682591438293,0.7143824100494385,0.1823319345712661,9.138146560871974e-05,4.569305383483879e-05,0.9999085664749146,136.60976322900024,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
1,1,0.943638801574707,0.8935643434524536,0.0563613064587116,6.92891699145548e-05,3.4651260648388416e-05,0.999930739402771,93.276998026,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
2,2,0.9555838108062744,0.9151057004928588,0.0444160290062427,0.208638459444046,0.1175263002514839,0.7913616299629211,96.67855132400018,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
3,3,0.9632899761199952,0.9292920231819152,0.0367102436721324,0.7593833804130554,0.6155441999435425,0.240616574883461,95.78234655899996,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
4,4,0.9663774967193604,0.9350450038909912,0.0336223989725112,0.9572130441665648,0.9180752038955688,0.0427869781851768,95.58070328999975,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
5,5,0.969744086265564,0.941339910030365,0.030255964025855,0.9482513666152954,0.901820421218872,0.0517486259341239,95.4834492050004,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
6,6,0.9708825945854188,0.9434844255447388,0.0291175600141286,0.9488192200660706,0.902915060520172,0.0511808320879936,91.56615768399979,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
7,7,0.9737012982368468,0.9488011598587036,0.0262989308685064,0.9542033672332764,0.912605345249176,0.0457966923713684,91.7465192059999,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
8,8,0.9751952290534972,0.9516379833221436,0.0248044915497303,0.9559680819511414,0.9158271551132202,0.0440319776535034,95.73802312399994,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
9,9,0.9762227535247804,0.9535901546478271,0.0237772297114133,0.960453450679779,0.9240431189537048,0.0395465530455112,93.36757778699985,0.045319270342588425,0.9550747871398926,0.9148625731468201,11.836801101999754,10050241.0
