,epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss,training_time,test_loss,test_dice_coef,test_iou,testing_time,trainable_params
0,0,0.8213602900505066,0.7057872414588928,0.1786395758390426,0.2103674411773681,0.1175653636455535,0.7896325588226318,88.097757599,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
1,1,0.9046217799186708,0.8262420892715454,0.0953782424330711,0.3175045847892761,0.1898891776800155,0.6824954152107239,45.044207793,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
2,2,0.9322996735572816,0.873401403427124,0.0677000135183334,0.8032892942428589,0.6744655966758728,0.1967106759548187,46.21325696499997,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
3,3,0.9484285712242126,0.9020156264305116,0.05157121270895,0.9243773818016052,0.859786331653595,0.0756225883960723,46.926351170999965,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
4,4,0.955460488796234,0.9148375391960144,0.0445393919944763,0.9517596960067748,0.908094048500061,0.0482403188943862,49.210372138000025,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
5,5,0.96196049451828,0.9267794489860536,0.0380397289991378,0.954862892627716,0.9137131571769714,0.0451371185481548,47.43196397400004,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
6,6,0.9648487567901612,0.9321603775024414,0.0351513139903545,0.9582499265670776,0.9199817776679992,0.041749995201826,49.018457356000056,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
7,7,0.966569721698761,0.9353788495063782,0.0334302447736263,0.9645320177078248,0.9315770864486694,0.0354679934680461,49.17044600999998,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
8,8,0.9699671864509584,0.941726565361023,0.0300329960882663,0.963694393634796,0.9300339818000792,0.0363055951893329,47.35018677200003,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
9,9,0.9725732803344728,0.946649134159088,0.0274269878864288,0.9697678089141846,0.9413684606552124,0.030232248827815,47.30939640500003,0.033215343952178955,0.9670045971870422,0.9364768862724304,7.72973988199999,7851969.0
